n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha,mse,mae
750,0.01,6,0.6,0.6,0.5,2.0,753783822.1508967,15708.844940603596
1000,0.01,10,0.6,0.6,1.0,0.5,754079739.5647295,15582.502943065068
1000,0.1,10,0.6,0.8,2.0,0.0,754766271.6944208,16802.884257277397
1500,0.1,10,0.6,0.8,2.0,0.0,754766583.8129661,16802.889434396406
750,0.1,10,0.6,0.8,2.0,0.0,754768273.8825715,16802.93875749144
500,0.1,10,0.6,0.8,2.0,0.0,754799331.1776986,16804.429941673803
1500,0.01,8,0.6,0.6,1.0,2.0,755044266.9808037,15599.017738655823
1500,0.01,8,0.6,0.6,1.0,0.5,755151904.3725791,15602.221853595891
1000,0.01,10,0.6,0.6,1.0,1.0,755502660.4510595,15624.519330586472
1000,0.1,10,0.6,0.8,2.0,0.5,756001481.6935586,16726.737358197774
1500,0.1,10,0.6,0.8,2.0,0.5,756001655.8262599,16726.741465111303
750,0.1,10,0.6,0.8,2.0,0.5,756002180.205428,16726.751123715752
500,0.1,10,0.6,0.8,2.0,0.5,756019149.7008086,16728.189640410958
1000,0.01,10,0.6,0.6,1.0,0.0,756093617.9078213,15599.248448202055
1500,0.01,8,0.6,0.6,1.0,1.0,756275816.1692832,15611.436215753425
1000,0.1,10,0.6,0.8,2.0,1.0,757441312.5034993,16781.087837114726
1500,0.1,10,0.6,0.8,2.0,1.0,757441445.6062148,16781.090178189213
750,0.1,10,0.6,0.8,2.0,1.0,757442206.6734619,16781.129762414384
500,0.1,10,0.6,0.8,2.0,1.0,757465132.15805,16782.300553831337
1500,0.1,10,0.6,0.8,2.0,2.0,758744663.2542526,16810.75905661387
1000,0.1,10,0.6,0.8,2.0,2.0,758744762.566563,16810.761090004282
750,0.1,10,0.6,0.8,2.0,2.0,758746000.8375028,16810.799470248287
500,0.1,10,0.6,0.8,2.0,2.0,758766293.8461496,16811.479559075342
750,0.1,10,0.6,0.6,2.0,0.0,760389008.1158777,16956.894745291094
1000,0.1,10,0.6,0.6,2.0,0.0,760389885.2088257,16956.90649079623
1500,0.1,10,0.6,0.6,2.0,0.0,760390524.3131856,16956.911333476026
500,0.1,10,0.6,0.6,2.0,0.0,760414345.4182051,16957.739003638697
1000,0.01,10,0.6,0.6,1.0,2.0,760448350.3281403,15657.749317744006
750,0.1,10,0.6,0.6,2.0,1.0,762508050.7869468,16891.58834546233
1000,0.1,10,0.6,0.6,2.0,1.0,762510345.407668,16891.601134417808
1500,0.1,10,0.6,0.6,2.0,1.0,762510592.4032903,16891.60696703767
500,0.1,10,0.6,0.6,2.0,1.0,762528728.5831354,16892.435734160958
